seg_id,pci,pci_desc
SS-000184-PV1,95.77,Good
SS-000185-PV1,93.58,Good
SS-000186-PV1,95,Good
SS-000187-PV1,95,Good
SS-000191-PV1,95,Good
SS-000192-PV1,85.99,Good
SS-000193-PV1,95,Good
SS-000194-PV1,95,Good
SS-000195-PV1,91.82,Good
SS-000196-PV1,95.49,Good
SS-000197-PV1,94.43,Good
SS-000198-PV1,91.86,Good
SS-000199-PV1,,
SS-000200-PV1,76.42,Satisfactory
SS-000201-PV1,86.83,Good
SS-000202-PV1,77.24,Satisfactory
SS-000203-PV1,90.22,Good
SS-000204-PV1,91.65,Good
SS-000205-PV1,86.93,Good
SS-000206-PV1,89.58,Good
SS-000207-PV1,93.35,Good
SS-000208-PV1,91.85,Good
SS-000209-PV1,84.8,Satisfactory
SS-000210-PV1,86.95,Good
SS-000211-PV1,92.53,Good
SS-000212-PV1,95,Good
SS-000213-PV1,80.51,Satisfactory
SS-000214-PV1,80,Satisfactory
SS-000215-PV1,78.25,Satisfactory
SS-000216-PV1,91.06,Good
SS-000217-PV1,89.24,Good
SS-000218-PV1,76.32,Satisfactory
SS-000219-PV1,95,Good
SS-000220-PV1,95,Good
SS-000221-PV1,93.66,Good
SS-000222-PV1,89.06,Good
SS-000223-PV1,37.83,Very Poor
SS-000224-PV1,96,Good
SS-000225-PV1,79.58,Satisfactory
SS-000226-PV1,85.65,Good
SS-000227-PV1,98.49,Good
SS-000228-PV1,97.87,Good
SS-000229-PV1,98.55,Good
SS-000230-PV1,95.2,Good
SS-000231-PV1,94.03,Good
SS-000232-PV1,94.92,Good
SS-000233-PV1,85.96,Good
SS-000234-PV1,55.34,Fair
SS-000235-PV1,67.25,Fair
SS-000236-PV1,54.99,Poor
SS-000237-PV1,87.15,Good
SS-000238-PV1,83.66,Satisfactory
SS-000239-PV1,94.63,Good
SS-000240-PV1,95.71,Good
SS-000241-PV1,91,Good
SS-000242-PV1,95,Good
SS-000243-PV1,79.99,Satisfactory
SS-000244-PV1,99.5,Good
SS-000245-PV1,90.42,Good
SS-000246-PV1,66.27,Fair
SS-000247-PV1,96,Good
SS-000248-PV1,95.4,Good
SS-000249-PV1,96,Good
SS-000250-PV1,96,Good
SS-000251-PV1,96,Good
SS-000252-PV1,96,Good
SS-000253-PV1,96,Good
SS-000254-PV1,96,Good
SS-000255-PV1,95,Good
SS-000256-PV1,95,Good
SS-000257-PV1,44.41,Poor
SS-000258-PV1,68.03,Fair
SS-000259-PV1,33.48,Very Poor
SS-000260-PV1,88.94,Good
SS-000261-PV1,96,Good
SS-000262-PV1,96,Good
SS-000263-PV1,97.57,Good
SS-000264-PV1,87,Good
SS-000265-PV1,73.41,Satisfactory
SS-000266-PV1,90.47,Good
SS-000267-PV1,74.68,Satisfactory
SS-000268-PV1,93.36,Good
SS-000269-PV1,96,Good
SS-000270-PV1,94.12,Good
SS-000271-PV1,93.14,Good
SS-000272-PV1,99.87,Good
SS-000273-PV1,55.3,Fair
SS-000278-PV1,57.39,Fair
SS-000279-PV1,37.99,Very Poor
SS-000282-PV1,27.48,Very Poor
SS-000283-PV1,95.2,Good
SS-000284-PV1,71,Satisfactory
SS-000285-PV1,90.02,Good
SS-000286-PV1,93.92,Good
SS-000287-PV1,96,Good
SS-000288-PV1,96,Good
SS-000289-PV1,95,Good
SS-000290-PV1,60.23,Fair
SS-000291-PV1,84.6,Satisfactory
SS-000292-PV1,85.82,Good
SS-000293-PV1,81.54,Satisfactory
SS-000294-PV1,96,Good
SS-000295-PV1,96,Good
SS-000296-PV1,96,Good
SS-000297-PV1,96,Good
SS-000298-PV1,96,Good
SS-000303-PV1,98.93,Good
SS-000304-PV1,96.29,Good
SS-000305-PV1,96,Good
SS-000306-PV1,96,Good
SS-000308-PV1,29.21,Very Poor
SS-000309-PV1,22.07,Serious
SS-000310-PV1,18.6,Serious
SS-000311-PV1,94.41,Good
SS-000312-PV1,94.36,Good
SS-000314-PV1,85.62,Good
SS-000315-PV1,88,Good
SS-000316-PV1,90.79,Good
SS-000317-PV1,67.31,Fair
SS-000318-PV1,64.96,Fair
SS-000319-PV1,76.47,Satisfactory
SS-000320-PV1,99.5,Good
SS-000321-PV1,99.58,Good
SS-000322-PV1,96,Good
SS-000323-PV1,96,Good
SS-000324-PV1,99.5,Good
SS-000327-PV1,77.31,Satisfactory
SS-000328-PV1,16.21,Serious
SS-000330-PV1,39.43,Very Poor
SS-000331-PV1,96,Good
SS-000332-PV1,96.97,Good
SS-000333-PV1,98.5,Good
SS-000334-PV1,95.72,Good
SS-000335-PV1,61.2,Fair
SS-000336-PV1,62,Fair
SS-000337-PV1,69.65,Fair
SS-000338-PV1,84.58,Satisfactory
SS-000339-PV1,44.91,Poor
SS-000340-PV1,71,Satisfactory
SS-000341-PV1,96,Good
SS-000343-PV1,96,Good
SS-000344-PV1,96.21,Good
SS-000345-PV1,88.34,Good
SS-000346-PV1,84.08,Satisfactory
SS-000347-PV1,71.94,Satisfactory
SS-000348-PV1,71,Satisfactory
SS-000349-PV1,71,Satisfactory
SS-000350-PV1,71,Satisfactory
