iamfloc,total_crashes,injured,killed,avg_pci,pav_length,traffic_count,crashes_per_mile,cluster_id,gi_star,is_hotspot,is_coldspot
SS-029600-PV1,1.0,0.0,0.0,81.40010467031755,484.8836,,10.889211348868058,,-0.08231263312474596,False,False
SS-029603-PV1,6.0,8.0,0.0,32.25645882818686,335.262,,94.49326198614816,0.0,1.0305900606268785,False,False
SS-029604-PV1,1.0,1.0,0.0,16.114978226444975,453.8554,,11.63366129388347,,-0.06663794729725832,False,False
SS-029605-PV1,2.0,2.0,0.0,38.19389020849828,197.7868,,53.39082284560951,,-0.16068606226218435,False,False
SS-029606-PV1,6.0,5.0,0.0,84.21388662361454,380.0841,,83.34997438724746,0.0,-0.082312633124746,False,False
SS-029607-PV1,0.0,0.0,0.0,36.43782066508314,102.0197,,0.0,,0.6230482291121991,False,False
SS-029608-PV1,6.0,3.0,0.0,21.416561757719712,339.5305,,93.30531425011891,0.0,-0.129336690607209,False,False
SS-029609-PV1,0.0,0.0,0.0,90.30879630171479,229.1938,,0.0,,-0.129336690607209,False,False
SS-029610-PV1,0.0,0.0,0.0,67.07828864931957,272.3892,,0.0,,-0.129336690607209,False,False
SS-029611-PV1,0.0,0.0,0.0,92.20573081712757,303.4755,,0.0,,-0.23905949139962268,False,False
SS-029612-PV1,0.0,0.0,0.0,80.69032771718972,270.4179,,0.0,,-0.17636074808967203,False,False
SS-029613-PV1,3.0,1.0,0.0,18.7159639746635,809.5724,,19.565884410091055,,-0.2077101197446474,False,False
SS-029614-PV1,0.0,0.0,0.0,17.918978622327792,189.2587,,0.0,,-0.11366200477972133,False,False
SS-029615-PV1,6.0,3.0,0.0,16.572566640274477,689.1636,,45.96876561675631,0.0,-0.22338480557213505,False,False
SS-029616-PV1,4.0,6.0,0.0,22.06574425969913,282.0342,,74.88453527976394,,-0.129336690607209,False,False
SS-029618-PV1,1.0,1.0,0.0,84.10088677751385,158.0127,,33.41503562688316,,-0.19203543391715971,False,False
SS-029619-PV1,0.0,0.0,0.0,78.71321258907363,120.3414,,0.0,,-0.0196138898147953,False,False
SS-029620-PV1,2.0,0.0,0.0,87.66353870297718,373.0123,,28.310058408261607,,-0.05096326146977067,False,False
SS-029621-PV1,5.0,0.0,0.0,43.209749086946246,384.3808,,68.68189045862853,0.0,0.07443422515013065,False,False
SS-029622-PV1,2.0,0.0,0.0,84.26705989288584,391.4144,,26.979078950595582,,0.1684823401150567,False,False
SS-029623-PV1,2.0,0.0,0.0,73.281039874318,388.8605,,27.156268121858613,,0.011735481840179996,False,False
SS-029624-PV1,1.0,0.0,0.0,87.95191409342834,381.4321,,13.842568572492981,,-0.06663794729725835,False,False
SS-029625-PV1,0.0,0.0,0.0,80.63757568966484,373.2372,,0.0,,-0.129336690607209,False,False
SS-029626-PV1,1.0,3.0,0.0,74.78743269992083,380.0571,,13.89264928875161,,0.30955451256244576,False,False
SS-029627-PV1,2.0,1.0,0.0,71.7644873317498,377.208,,27.99516447159127,,0.23118108342500748,False,False
SS-029628-PV1,1.0,0.0,0.0,58.018072050673,381.9579,,13.82351301020348,,0.764120401559588,False,False
SS-029629-PV1,0.0,0.0,0.0,63.5330693319161,267.04660631,,0.0,,-0.2077101197446474,False,False
SS-029630-PV1,3.0,0.0,0.0,75.71669659830006,491.0,,32.260692464358456,,-0.16068606226218435,False,False
SS-029631-PV1,0.0,0.0,0.0,92.561717820545,182.0,,0.0,,-0.27040886305459805,False,False
SS-029632-PV1,0.0,0.0,0.0,89.125754046546,312.0,,0.0,,-0.2077101197446474,False,False
SS-029633-PV1,1.0,1.0,0.0,71.51430089328295,536.9999,,9.832404065624592,,0.27820514090747045,False,False
SS-029634-PV1,3.0,1.0,0.0,47.5930106888361,810.0,,19.555555555555554,,-0.09798731895223364,False,False
SS-029635-PV1,0.0,0.0,0.0,60.354101346001585,143.056,,0.0,,-0.1450113764346967,False,False
SS-029636-PV1,0.0,0.0,0.0,10.25585510688836,314.4599,,0.0,,0.011735481840179996,False,False
SS-029637-PV1,11.0,7.0,0.0,27.133012668250203,522.1877,,111.22437391765453,0.0,0.18415702594254443,False,False
SS-029638-PV1,2.0,0.0,0.0,24.248309580364214,539.3603,,19.578749121876413,,0.27820514090747045,False,False
SS-029639-PV1,0.0,0.0,0.0,35.82375890736343,292.3046,,0.0,,0.6700722865946621,False,False
SS-029640-PV1,39.0,29.0,0.0,29.377686064924788,834.4402,,246.77622195095586,0.0,0.8738432023520017,False,False
SS-029641-PV1,18.0,4.0,0.0,35.713060174188435,405.7309,,234.24392867292087,0.0,-0.17636074808967203,False,False
SS-029642-PV1,0.0,0.0,0.0,83.30565417350456,252.2334,,0.0,,-0.22338480557213505,False,False
SS-029643-PV1,0.0,0.0,0.0,74.02845950042888,195.5007,,0.0,,-0.20771011974464737,False,False
SS-029644-PV1,0.0,0.0,0.0,82.18071994428664,181.6892,,0.0,,0.011735481840180065,False,False
SS-029645-PV1,1.0,0.0,0.0,89.8726617258091,712.0,,7.415730337078651,,-0.11366200477972133,False,False
SS-029646-PV1,0.0,0.0,0.0,89.94335710655922,258.0,,0.0,,0.13713296846008138,False,False
SS-029647-PV1,1.0,0.0,0.0,25.7364469517023,260.5266,,20.26664455759988,,-0.17636074808967203,False,False
SS-029648-PV1,1.0,1.0,0.0,47.863699524940614,958.6408,,5.507798124177482,,-0.23905949139962268,False,False
SS-029649-PV1,0.0,0.0,0.0,93.50240173683264,251.0021,,0.0,,-0.23905949139962268,False,False
SS-029650-PV1,1.0,0.0,0.0,22.521276722090263,881.5367,,5.989540764440096,,-0.19203543391715971,False,False
SS-029651-PV1,0.0,0.0,0.0,29.498905384006335,620.3722,,0.0,,-0.19203543391715971,False,False
SS-029652-PV1,0.0,0.0,0.0,57.07823634204275,232.6249,,0.0,,0.7170963440771252,False,False
SS-029653-PV1,0.0,0.0,0.0,39.194457640538396,136.1655,,0.0,,-0.08231263312474603,False,False
SS-029655-PV1,0.0,0.0,0.0,62.77693784639746,261.7388,,0.0,,-0.22338480557213505,False,False
